syriaca_uri,wikidata_id,zh-hans,zh-hant,zh,error_code
http://syriaca.org/place/4298,Q48472,"库尼亚乌尔根奇
","
","庫尼亞烏爾根奇
",
http://syriaca.org/place/4255,,,,,
http://syriaca.org/place/4314,Q47282,"奥什
","奧什
","奧什
貳師城
贰师",
http://syriaca.org/place/4422,,,,,
http://syriaca.org/place/1960,Q1646915,"
","
","麥拉坡
",
http://syriaca.org/place/4358,Q487089,"费尔干纳州
","費爾干納州
","費爾干納州
",
http://syriaca.org/place/2534,Q35721146,"洛阳市
洛阳
唐东都
雒阳县
宋西京
西京河南府
河洛道
雒阳
西京洛阳府
河南府","洛陽市
洛陽
唐東都
雒陽縣
宋西京
西京河南府
河洛道
雒陽
西京洛陽府
河南府
神都
京洛
東都
洛邑","洛陽市
洛陽
唐東都
雒陽縣
宋西京
西京河南府
河洛道
雒陽
西京洛陽府
河南府
洛阳
洛阳市","Warning: Wikidata ID from WHG, Q35721146, does not match the returned ID in the JSON, Q187136. This is likely due to a deprecation and redirect and can be ignored."
http://syriaca.org/place/4402,,,,,
http://syriaca.org/place/4361,Q191314,"戈达瓦里河
","戈達瓦里河
","戈达瓦里河
哥达瓦里河",
http://syriaca.org/place/4368,,,,,
http://syriaca.org/place/647,Q1315785,"
","
","突厥斯坦
",
http://syriaca.org/place/4292,,,,,
http://syriaca.org/place/4258,Q3867397,"巴拉穆尔加布
","
","巴拉穆爾加布
巴拉穆尔加布",
http://syriaca.org/place/4334,Q12832321,"莎车镇
","
","莎车镇
Shāchē zhèn
Shāchē
莎车
莎車",
http://syriaca.org/place/4359,,,,,
http://syriaca.org/place/4295,Q170521,"喀什市
","喀什市
","喀什市
喀什噶尔
喀什噶爾
喀什
疏勒",
http://syriaca.org/place/4419,Q211243,"银川市
银川","銀川市
銀川","銀川市
銀川
银川
银川市",
http://syriaca.org/place/4379,Q75203,"辽阳市
辽阳","遼陽市
遼陽","辽阳市
",
http://syriaca.org/place/4276,Q681427,"
","
","圖斯
",
http://syriaca.org/place/4362,,,,,
http://syriaca.org/place/4385,,,,,
http://syriaca.org/place/4000,Q319114,"敦煌市
","敦煌市
敦煌縣","敦煌市
敦煌
敦煌县
燉煌
沙州
敦煌縣
Dūnhuáng",
http://syriaca.org/place/4307,,,,,
http://syriaca.org/place/4282,,,,,
http://syriaca.org/place/4475,Q182647,"花剌子模
","花剌子模
","花剌子模
花刺子模
花拉子模
火寻国
火尋",
http://syriaca.org/place/4467,Q84779307,"
","
","布拉依克
",
http://syriaca.org/place/4229,Q132646,"巴克特里亚
","巴克特里亞
","巴克特里亞
巴克特利亚",
