node,ms-uri,node-structure,msItem-id,structure-id,xpath
"<bibl >p.
                  493, no. DCXXV (Add. 12,151<ptr target='http://syriaca.org/manuscript/26'></ptr>).</bibl>",http://syriaca.org/manuscript/19,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA</bibl>,a1,structure-13,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/note[3]/p[20]/note/bibl[2]
"<bibl >Add. 17,264 and 17,263</bibl>",http://syriaca.org/manuscript/827,<bibl >CDATA</bibl>,a1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/note[1]/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/911'>Add.
                      17,216</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/203,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/physDesc/bindingDesc/condition/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/413'>Add.
                        14,647</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/404,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/physDesc/handDesc/handNote/desc/bibl
"<bibl >Add. 17,264<ptr target='http://syriaca.org/manuscript/1080'></ptr>,<citedRange unit='locus'>fol. 71 b</citedRange></bibl>",http://syriaca.org/manuscript/1079,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,a1,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/title/bibl
"<bibl >Add. 17,174<ptr target='http://syriaca.org/manuscript/826'></ptr></bibl>",http://syriaca.org/manuscript/1079,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,a1,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/note/bibl[1]
"<bibl >Add. 17,169, fol. 62a</bibl>",http://syriaca.org/manuscript/40,<bibl >CDATA</bibl>,p4b3,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem/msItem[1]/listBibl/bibl
"<bibl >Add. 17,169, fol. 76a</bibl>",http://syriaca.org/manuscript/40,<bibl >CDATA</bibl>,p4b2,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem/msItem[3]/listBibl/bibl
"<bibl >Add. 17,201, foll. 26—32, above, p. 465, no. DLXXXI</bibl>",http://syriaca.org/manuscript/40,<bibl >CDATA</bibl>,p4b4,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem/msItem[4]/listBibl/bibl
"<bibl >Add. 12,167, fol. 203a</bibl>",http://syriaca.org/manuscript/40,<bibl >CDATA</bibl>,p4b5,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem/msItem[5]/listBibl/bibl
"<bibl >Add. 14,436</bibl>",http://syriaca.org/manuscript/738,<bibl >CDATA</bibl>,a1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/note[1]/bibl[2]
