node,ms-uri,node-structure,msItem-id,structure-id,xpath
"<bibl >Add. 14506 foll. 85-96, lower text<ptr target='http://syriaca.org/manuscript/1415'></ptr></bibl>",http://syriaca.org/manuscript/196,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/physDesc/p/bibl
"<bibl >Add MS 14506 foll. 1-96, upper text<ptr target='http://syriaca.org/manuscript/197'></ptr></bibl>",http://syriaca.org/manuscript/196,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/physDesc/p/bibl
"<bibl >Add. 14506 foll. 97-110, lower text<ptr target='http://syriaca.org/manuscript/1416'></ptr></bibl>",http://syriaca.org/manuscript/196,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/physDesc/p/bibl
"<bibl >Add. 14506 foll. 97-110, upper text<ptr target='http://syriaca.org/manuscript/198'></ptr></bibl>",http://syriaca.org/manuscript/196,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/physDesc/p/bibl
"<bibl >Fol. 122 a. See Add. 14,607, no. 4, b.</bibl>",http://syriaca.org/manuscript/773,<bibl >CDATA</bibl>,c22,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[4]/msItem[2]/listBibl/bibl
"<bibl >Add. 12,160<ptr target='http://syriaca.org/manuscript/1226'></ptr>, fol.<citedRange unit='locus'>153 a</citedRange></bibl>",http://syriaca.org/manuscript/849,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b5,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[5]/note/bibl[1]
"<bibl >Add. 14,613<ptr target='http://syriaca.org/manuscript/1532'></ptr>, fol.<citedRange unit='locus'>1 a</citedRange></bibl>",http://syriaca.org/manuscript/849,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b5,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[5]/note/bibl[2]
"<bibl >Land, Ancedota Syriaca, t. ii., p. 11 of the Addenda et
                    Emendanda</bibl>",http://syriaca.org/manuscript/849,<bibl >CDATA</bibl>,b40,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[40]/note/bibl
"<bibl >Add. 14,483<ptr target='http://syriaca.org/manuscript/168'></ptr></bibl>",http://syriaca.org/manuscript/849,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,b77,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[77]/note/bibl[1]
"<bibl >Add. 14,587<ptr target='http://syriaca.org/manuscript/323'></ptr>, fol.<citedRange unit='locus'>1a</citedRange></bibl>",http://syriaca.org/manuscript/849,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b124,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[124]/note[2]/bibl[2]
"<bibl >Add. 17,163<ptr target='http://syriaca.org/manuscript/809'></ptr>, fol.<citedRange unit='locus'>23b</citedRange></bibl>",http://syriaca.org/manuscript/849,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b124,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[124]/note[2]/bibl[3]
"<bibl >Add. 14,532<ptr target='http://syriaca.org/manuscript/259'></ptr></bibl>",http://syriaca.org/manuscript/265,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,a3,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[3]/note/bibl
"<bibl >Add. 14,532<ptr target='http://syriaca.org/manuscript/259'></ptr>, no.<citedRange unit=''>1</citedRange></bibl>",http://syriaca.org/manuscript/265,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b15,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[3]/msItem[1]/note/p[1]/bibl
"<bibl >Add. 14,532<ptr target='http://syriaca.org/manuscript/259'></ptr>, no.<citedRange unit=''>2</citedRange></bibl>",http://syriaca.org/manuscript/265,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b16,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[3]/msItem[2]/note/bibl
"<bibl >Add. 14,532<ptr target='http://syriaca.org/manuscript/259'></ptr>, no.<citedRange unit=''>3</citedRange></bibl>",http://syriaca.org/manuscript/265,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b17,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[3]/msItem[3]/note/bibl
"<bibl >Add. 14,532<ptr target='http://syriaca.org/manuscript/259'></ptr>, no.<citedRange unit=''>4</citedRange></bibl>",http://syriaca.org/manuscript/265,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b18,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[3]/msItem[4]/note/p[1]/bibl
"<bibl >Add. 14,451*<ptr target='http://syriaca.org/manuscript/123'></ptr></bibl>",http://syriaca.org/manuscript/125,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/physDesc/p/bibl
"<bibl >Add. 14,451*<ptr target='http://syriaca.org/manuscript/123'></ptr></bibl>",http://syriaca.org/manuscript/125,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/physDesc/objectDesc/supportDesc/condition/list/item/p/bibl
"<bibl >Add. 14,451*<ptr target='http://syriaca.org/manuscript/123'></ptr></bibl>",http://syriaca.org/manuscript/125,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/physDesc/p/bibl[2]
"<bibl >Add. 14,452, fol. 58, lower text<ptr target='http://syriaca.org/manuscript/1573'></ptr></bibl>",http://syriaca.org/manuscript/125,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/physDesc/p/bibl[4]
"<bibl >Add. 14,451*<ptr target='http://syriaca.org/manuscript/123'></ptr></bibl>",http://syriaca.org/manuscript/125,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/physDesc/objectDesc/supportDesc/condition/list/item/p/bibl[2]
"<bibl >Add. 14,452, fol. 58, lower text<ptr target='http://syriaca.org/manuscript/1573'></ptr></bibl>",http://syriaca.org/manuscript/125,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/physDesc/objectDesc/supportDesc/condition/list/item/p/bibl[4]
"<bibl >Add. 14,452, fol. 58, lower text<ptr target='http://syriaca.org/manuscript/1573'></ptr></bibl>",http://syriaca.org/manuscript/125,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/physDesc/p/bibl
"<bibl >Add. 14,452, fol. 58, lower text<ptr target='http://syriaca.org/manuscript/1573'></ptr></bibl>",http://syriaca.org/manuscript/125,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/physDesc/objectDesc/supportDesc/condition/list/item/p/bibl
"<bibl >Add. 14,451, fol. 88, lower text<ptr target='http://syriaca.org/manuscript/1571'></ptr></bibl>",http://syriaca.org/manuscript/125,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/physDesc/p/bibl[1]
"<bibl >Add. 14,452, fol. 58, upper text<ptr target='http://syriaca.org/manuscript/1572'></ptr></bibl>",http://syriaca.org/manuscript/125,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/physDesc/p/bibl[2]
"<bibl >Add. 14,451, fol. 88, lower text<ptr target='http://syriaca.org/manuscript/1571'></ptr></bibl>",http://syriaca.org/manuscript/125,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/physDesc/objectDesc/supportDesc/condition/list/item/p/bibl[1]
"<bibl >Add. 14,452, fol. 58, upper text<ptr target='http://syriaca.org/manuscript/1572'></ptr></bibl>",http://syriaca.org/manuscript/125,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/physDesc/objectDesc/supportDesc/condition/list/item/p/bibl[2]
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/282'>Add. 14,551</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/283,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,b2,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[2]/note/bibl[1]
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/1123'>Add. 18,815</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/775,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,a1,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/note/bibl
"<bibl >Add. 14,502, fol. 45 b</bibl>",http://syriaca.org/manuscript/760,<bibl >CDATA</bibl>,c1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[1]/msItem[1]/note/bibl
"<bibl >Add. 14,502, fol 19 b</bibl>",http://syriaca.org/manuscript/760,<bibl >CDATA</bibl>,c3,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[2]/msItem[1]/note/bibl
"<bibl >Add. 14,502</bibl>",http://syriaca.org/manuscript/760,<bibl >CDATA</bibl>,,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/physDesc/handDesc/handNote[1]/desc/bibl
"<bibl >Add. MS 14,500, lower text<ptr target='http://syriaca.org/manuscript/1395'></ptr></bibl>",http://syriaca.org/manuscript/190,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/physDesc/p/bibl
"<bibl >Add. MS 14,500, upper text<ptr target='http://syriaca.org/manuscript/1396'></ptr></bibl>",http://syriaca.org/manuscript/190,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/physDesc/p/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/34'>Add. 12,159</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/335,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,a1,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/note/bibl[1]
"<bibl >Add. 12,145, lower text<ptr target='http://syriaca.org/manuscript/1441'></ptr></bibl>",http://syriaca.org/manuscript/20,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/physDesc/p/bibl
"<bibl >Add. 12,145, upper text<ptr target='http://syriaca.org/manuscript/1440'></ptr></bibl>",http://syriaca.org/manuscript/20,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/physDesc/p/bibl
"<bibl >Add. 14,484, fol. 18 b</bibl>",http://syriaca.org/manuscript/639,<bibl >CDATA</bibl>,p1b1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[2]/msItem[1]/note[1]/bibl
"<bibl >Add. 12,174, no. 10</bibl>",http://syriaca.org/manuscript/639,<bibl >CDATA</bibl>,p1b4,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[2]/msItem[4]/note/bibl
"<bibl >Add. 14,645, no. 41</bibl>",http://syriaca.org/manuscript/639,<bibl >CDATA</bibl>,p1b7,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[2]/msItem[7]/note/bibl
"<bibl >Add. 14,582, no. 14</bibl>",http://syriaca.org/manuscript/639,<bibl >CDATA</bibl>,p1b10,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[2]/msItem[10]/note/bibl
"<bibl >Add. 14,624, no. 4</bibl>",http://syriaca.org/manuscript/639,<bibl >CDATA</bibl>,p1b11,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[2]/msItem[11]/note/bibl
"<bibl >Add. 12,174, no. 1</bibl>",http://syriaca.org/manuscript/639,<bibl >CDATA</bibl>,p1b15,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[2]/msItem[15]/note[2]/bibl
"<bibl >Add. 14,484, fol. 115 b</bibl>",http://syriaca.org/manuscript/639,<bibl >CDATA</bibl>,p1b16,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[2]/msItem[16]/note/bibl
"<bibl >Add. 12,172, fol. 13 a</bibl>",http://syriaca.org/manuscript/639,<bibl >CDATA</bibl>,p1b19,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[2]/msItem[19]/note/bibl
"<bibl >Add. 12,172, fol. 17 a</bibl>",http://syriaca.org/manuscript/639,<bibl >CDATA</bibl>,p1b20,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[2]/msItem[20]/note[1]/bibl
"<bibl >Add. 12,172, fol. 21 b</bibl>",http://syriaca.org/manuscript/639,<bibl >CDATA</bibl>,p1b21,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[2]/msItem[21]/note[1]/bibl
"<bibl >Add. 12,175, fol. 2 b</bibl>",http://syriaca.org/manuscript/639,<bibl >CDATA</bibl>,p1b22,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[2]/msItem[22]/note[2]/bibl
"<bibl >Add. 12,174, no. 71</bibl>",http://syriaca.org/manuscript/639,<bibl >CDATA</bibl>,p1b23,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[2]/msItem[23]/note/bibl
"<bibl >Add. 14,633, no. 40</bibl>",http://syriaca.org/manuscript/639,<bibl >CDATA</bibl>,p3b1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem[3]/msItem[1]/note/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/69'>See Add. 12,173, fol. 180a.</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p1b3,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem/msItem[3]/listBibl/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/69'>See Add. 12,173, fol. 180a.</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p1b4,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem/msItem[4]/listBibl/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/71'>Add. 12,175</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/physDesc/additions/list/item[2]/p[1]/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>Add. 14,578, no. 17</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p2c1,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem/msItem[2]/msItem[1]/listBibl/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>Add. 14,578, no. 9</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p2c3,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem/msItem[2]/msItem[3]/listBibl/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>Add. 14,578, no. 29</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p2c4,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem/msItem[2]/msItem[4]/listBibl/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>Add. 14,578, no. 30</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p2c5,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem/msItem[2]/msItem[5]/listBibl/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>Add. 14,578, no. 22</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p2c7,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem/msItem[2]/msItem[7]/listBibl/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>Add. 14,578, no. 20</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p2c8,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem/msItem[2]/msItem[8]/listBibl/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>Add. 14,578, no. 44</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p2c10,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem/msItem[2]/msItem[10]/listBibl/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>Add. 14,578, no. 31</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p3c1,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem/msItem[1]/msItem[1]/listBibl/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>Add. 14,578, (no. 4, fol. 34 b)</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p3c3,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem/msItem[1]/msItem[3]/note/bibl[2]
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>See Add. 14,578, no. 6</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p3c5,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem/msItem[1]/msItem[5]/note/bibl[2]
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>See Add. 14,578, no. 7.</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p3c6,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem/msItem[1]/msItem[6]/listBibl/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>See Add. 14,578, no. 8.</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p3c7,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem/msItem[1]/msItem[7]/listBibl/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>See Add. 14,578, no. 34.</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p3c8,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem/msItem[1]/msItem[8]/listBibl/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>See Add. 14,578, no. 35.</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p3c9,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem/msItem[1]/msItem[9]/listBibl/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>See Add. 14,578, no. 10.</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p3c10,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem/msItem[1]/msItem[10]/note/bibl[2]
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/314'>See Add. 14,578, no. 3.</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p3c11,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem/msItem[1]/msItem[11]/note/bibl[2]
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/69'>See Add. 12,173, no. 1, a.</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p3c15,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem/msItem[3]/msItem[1]/listBibl/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/69'>See Add. 12,173, no. 1, b.</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/71,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,p3c30,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem/msItem[3]/msItem[16]/listBibl/bibl
"<bibl >Add. 14,578, no. 2</bibl>",http://syriaca.org/manuscript/317,<bibl >CDATA</bibl>,b4,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[4]/note/bibl
"<bibl >Add. 14,578, no. 1</bibl>",http://syriaca.org/manuscript/317,<bibl >CDATA</bibl>,b5,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[5]/note/bibl[1]
"<bibl >Add. 12,175, fol. 122 b</bibl>",http://syriaca.org/manuscript/317,<bibl >CDATA</bibl>,b5,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[5]/note/bibl[2]
"<bibl >Add. 14,580, no. 2, a</bibl>",http://syriaca.org/manuscript/317,<bibl >CDATA</bibl>,c4,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[6]/msItem[1]/note/bibl
"<bibl >Add. 14,580, no. 2, c</bibl>",http://syriaca.org/manuscript/317,<bibl >CDATA</bibl>,c5,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[6]/msItem[2]/note/bibl
"<bibl >Add. 14,580, no. 2, d</bibl>",http://syriaca.org/manuscript/317,<bibl >CDATA</bibl>,c6,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[6]/msItem[3]/note/bibl
"<bibl >Add. 14,578, no. 3</bibl>",http://syriaca.org/manuscript/317,<bibl >CDATA</bibl>,b7,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[7]/note/bibl
"<bibl >Add. 12,147<ptr target='http://syriaca.org/manuscript/22'></ptr></bibl>",http://syriaca.org/manuscript/24,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,a1,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/note/bibl
"<bibl >Add. 12,147<ptr target='http://syriaca.org/manuscript/22'></ptr>,<citedRange unit='locus'>fol. 299 b</citedRange></bibl>",http://syriaca.org/manuscript/24,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,b2,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/note/bibl
"<bibl >Add. 18,820<ptr target='http://syriaca.org/manuscript/1133'></ptr>,<citedRange unit='locus'>foll. 17— 54</citedRange></bibl>",http://syriaca.org/manuscript/24,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,a2,structure-12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/note/bibl
"<bibl >Add. 12,147<ptr target='http://syriaca.org/manuscript/22'></ptr></bibl>",http://syriaca.org/manuscript/24,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/physDesc/p/bibl[1]
"<bibl >Add. 12,147<ptr target='http://syriaca.org/manuscript/22'></ptr></bibl>",http://syriaca.org/manuscript/24,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/physDesc/p/bibl[2]
"<bibl >Add. 12,147<ptr target='http://syriaca.org/manuscript/22'></ptr></bibl>",http://syriaca.org/manuscript/24,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/physDesc/objectDesc/supportDesc/condition/list/item/p/bibl[1]
