temp_id,Citation in Wright,MS URI where first encountered,Page in Wright where first encountered,Added by,,Optional Brief description,Optional Full Citation,Optional Comments to Gen. Editors,cbss_uri,,,,
smblBibl46,"Acta Sanctorum for Sept., t. ii",https://bl.syriac.uk/ms/70,https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up (p. 1135),Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/WKJ7PXYG,Complete,,,
smblBibl47,"Acta Sanctorum for Sept., t. vii",https://bl.syriac.uk/ms/70,https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up (p. 1135),Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/WKJ7PXYG,Complete,,,
smblBibl48,"Acta Sanctorum for October., t. v.",https://bl.syriac.uk/ms/70,https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up (p. 1137),Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/MUXQL94L,Complete,,,
smblBibl49,Wright's Contributions to the Apocryphal Literature of the N. T.,https://bl.syriac.uk/ms/70,https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up (p. 1137),Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/78IUKYTM,Complete,,,
smblBibl50,"Gallandii Biblioth. Vett. Patrum, t. ix., p. 440",https://bl.syriac.uk/ms/337,https://archive.org/details/catalogueofsyria02brituoft/page/788/mode/2up,Maria Thomas,,,,,https://www.zotero.org/groups/4861694/items/Q6EQPY6X,Complete,,,
smblBibl51,"Opera, ed. Petavius, t. i., p. 47 B",https://bl.syriac.uk/ms/337,https://archive.org/details/catalogueofsyria02brituoft/page/788/mode/2up,Maria Thomas,,,,,https://www.zotero.org/groups/4861694/items/SWYQR7BK,Complete,,,
smblBibl52,"Opera, t. ii., p. 457",https://bl.syriac.uk/ms/337,https://archive.org/details/catalogueofsyria02brituoft/page/788/mode/2up,Maria Thomas,,,,,https://www.zotero.org/groups/4861694/items/LFRWXUWL,Complete,"Basil's Opera has multiple editions throughout history? 1839, 1721?",,
smblBibl53,"Renaudot, Liturg. Orient., t. ii., pp. 301-383-134-235",https://bl.syriac.uk/ms/1009,p. 207 https://archive.org/details/catalogueofsyria01brituoft/page/206/mode/1up,Giulia Seclì,,,"Renaudot, Eusèbe - Liturgiarum Orientalium collectio",https://archive.org/details/liturgiarumorie06renagoog/page/n6/mode/2up,https://www.zotero.org/groups/4861694/items/IIT2WDYD,Complete,"For this row and the one below, I've cited the 1847 edition, which seems to fit the pagination Wright refers to here. I have created a new citaiton for this volume in SMBL, because the version in CBSS was incomplete. - CD | The editors provided an archive.org copy, in 1847. But Worldcat also shows one with english title from 1821",CBSS also has this citation for Renaudot that is not distinguished by volume: https://www.zotero.org/groups/4861694/items/5GERSAB8.,
smblBibl54,"Renaudot, Liturg. Orient., t. ii., p. 176",https://bl.syriac.uk/ms/1010#msPart2,p. 208 https://archive.org/details/catalogueofsyria01brituoft/page/209/mode/1up,Giulia Seclì,,,"Renaudot, Eusèbe - Liturgiarum Orientalium collectio",https://archive.org/details/liturgiarumorie06renagoog/page/n6/mode/2up,https://www.zotero.org/groups/4861694/items/IIT2WDYD,Complete,See above.,CBSS also has this citation for Renaudot that is not distinguished by volume: https://www.zotero.org/groups/4861694/items/5GERSAB8.,
smblBibl55,"Opera, t. xi., p. 553",https://bl.syriac.uk/ms/337,https://archive.org/details/catalogueofsyria02brituoft/page/788/mode/2up,Maria Thomas,,,,,https://www.zotero.org/groups/4861694/items/X7JYKMA2,Complete,"CD - Updated to reflect that this is t. xi, not xii. Also, pars altera of this volume does not actually say ""pars altera"" on the title page, but I've included that phrase in the title field of Zotero to match the other volumes and to distinguish this from the first part of xi.",,
smblBibl56,"Opera, ed. Petav., t. ii., p. 166",https://bl.syriac.uk/ms/337,https://archive.org/details/catalogueofsyria02brituoft/page/788/mode/2up,Maria Thomas,,,,,https://www.zotero.org/groups/4861694/items/CACNAJXM,Complete,,,
smblBibl57,"Opera, t. iii., p. 191, ep. xlvi",https://bl.syriac.uk/ms/337,https://archive.org/details/catalogueofsyria02brituoft/page/788/mode/2up,Maria Thomas,,,,,https://www.zotero.org/groups/4861694/items/XJXVEEQW,Complete,"CD - The pagination matches the 1839 edition, which Wright uses elsewhere. | Basil's Opera has multiple editions throughout history? 1839, 1721?",,
smblBibl58,Catalogue of the Library of Adam Clarke,https://bl.syriac.uk/ms/1151,https://archive.org/details/catalogueofsyria01brituoft/page/194/mode/2up,Giovanni Gomiero,,,,https://archive.org/details/gri_33125014983007/page/n3/mode/2up,https://www.zotero.org/groups/4861694/items/VVMAUZCT,Complete,"No citation on the MS URI listed here, so I'm not sure where this citation links to? But I've inserted the correct citation for Adam Clarke's Library in Zotero. - CD | no citation?",,
smblBibl59,"Abul-fedae Annales Muslemici, ed. Reiske and Adler, t. iv., p. 81",https://bl.syriac.uk/ms/193,https://archive.org/details/catalogueofsyria01brituoft/page/254/mode/1up,Maria Thomas,,,,,https://www.zotero.org/groups/4861694/items/LZASE4CI,Complete,,,
smblBibl60,"Opera, ed. 1638, t. iii., p. 45",https://bl.syriac.uk/ms/265,https://archive.org/details/catalogueofsyria02brituoft/page/1006/mode/1up,Carlo Emilio Biuzzi,,Gregorius of Nyssa edition,,,https://www.zotero.org/groups/4861694/items/2U3TRZZC,Complete,,,
smblBibl61,"Opera, ed. 1742, p. 420",https://bl.syriac.uk/ms/265,https://archive.org/details/catalogueofsyria02brituoft/page/1006/mode/1up,Carlo Emilio Biuzzi,,Julius Martyr edition,,,https://www.zotero.org/groups/4861694/items/HYVYZLVV,Complete,,,
smblBibl62,"Migne, Patrol. Gr., t. lvi. col. 325",https://bl.syriac.uk/ms/2,https://archive.org/details/catalogueofsyria01brituoft/page/30/mode/2up,Maria Thomas,,,,,https://www.zotero.org/groups/4861694/items/RAFPLMH4,Complete,,,
smblBibl63,"Caspari, Quellen zur Geschichte des Taufsymbols"" (Christiania, 1866), i. pp. 100, 143",https://bl.syriac.uk/ms/31,https://archive.org/details/catalogueofsyria02brituoft/page/639,Sofia Puchkova,,,,,https://www.zotero.org/groups/4861694/items/HIT2VK4B,Complete,,,
smblBibl64,"Athanasius, Opera, t. ii., p. 1",https://bl.syriac.uk/ms/31,https://archive.org/details/catalogueofsyria02brituoft/page/639,Sofia Puchkova,,,,,https://www.zotero.org/groups/4861694/items/WS7DQIPN,Complete,"CD - Likely the 1698 edition, which Wright uses elsewhere. | Unsure of which opera this means? 1698 Opera Omnia might be it? ",https://www.google.com/books/edition/_/Cq-tb0oom78C?hl=ko&gbpv=1,
smblBibl65,"Labbe, Sacros. Concilia, t. iv., col. 1213 seqq.",https://bl.syriac.uk/ms/31,https://archive.org/details/catalogueofsyria02brituoft/page/639,Sofia Puchkova,,,,,https://www.zotero.org/groups/4861694/items/LGGE9GBW,Complete,"CD - I believe it's the 1728 edition, so I've put that Zotero link here. Several Editions, which one? ",https://search.worldcat.org/ko/search?q=Sacrosancta+Concilia&offset=1,https://archive.org/details/gri_33125010892483/page/n3/mode/2up
smblBibl66,"Acta Sanctorum for May, t. i.",https://bl.syriac.uk/ms/1520,https://archive.org/details/catalogueofsyria03brituoft/page/1083,Giovanni Gomiero,,,,,https://www.zotero.org/groups/4861694/items/MLYBXHNP,Complete,,,
smblBibl67,"Acta Sanctorum for July, t. iv.",https://bl.syriac.uk/ms/1520,https://archive.org/details/catalogueofsyria03brituoft/page/1083,Giovanni Gomiero,,,,,https://www.zotero.org/groups/4861694/items/P5JGPN2X,Complete,,,
smblBibl68,"Dr. Phillips (London, 1869), p. ܚ",https://bl.syriac.uk/ms/763,https://archive.org/details/catalogueofsyria01brituoft/page/336/mode/2up?q=julian+saba,Yael Kremer,,"found in zotero, but no link https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_on_syriac_studies/search/A%20Letter%20by%20M%C4%81r%20Jacob%2C%20Bishop%20of%20Edessa%2C%20on%20Syriac%20Orthography%3B%20also%20a%20Tract%20by%20the%20Same%20Author%2C%20and%20a%20Discourse%20by%20Gregory%20Bar%20Hebr%C3%A6us%20on%20Syriac%20Accents%20Now%20Edited%2C%20in%20the%20Original%20Syriac%2C%20from%20MSS.%20in%20the%20British%20Museum%2C%20with%20an%20English%20Translation%20and%20Notes/titleCreatorYear",,,https://www.zotero.org/groups/4861694/items/PSHWTIX9,Complete,,,
smblBibl69,"Le Quien, Oriens Christ, t. ii., col.493",https://bl.syriac.uk/ms/1051,https://archive.org/details/catalogueofsyria01brituoft/page/142/mode/2up,Yael Kremer,,https://books.google.co.uk/books?id=0agp0mJFG_sC&printsec=frontcover&redir_esc=y#v=onepage&q&f=false,,,https://www.zotero.org/groups/4861694/items/ZR527MHS,Complete,,,
smblBibl70,"Renaudot, Hist. Patr. Alexander., p. 599",https://bl.syriac.uk/ms/1051,https://archive.org/details/catalogueofsyria01brituoft/page/142/mode/2up,Yael Kremer,,https://en.wikipedia.org/wiki/History_of_the_Patriarchs_of_Alexandria#cite_note-1,,,https://www.zotero.org/groups/4861694/items/6PIG34XQ,Complete,,,
smblBibl71,"Fabricius, Codex Apocryphus N. T., t. i. p. 103",https://bl.syriac.uk/ms/172,https://archive.org/details/catalogueofsyria01brituoft/page/98,Maria Thomas,,,,,https://www.zotero.org/groups/4861694/items/7349P93M,Complete,,,
smblBibl72,"Thilo, Codex Apocryphus N. T. t. i. p. 236",https://bl.syriac.uk/ms/172,https://archive.org/details/catalogueofsyria01brituoft/page/98,Maria Thomas,,,,,https://www.zotero.org/groups/4861694/items/ITTNRYEI,Complete,,,
smblBibl73,"Tischendorf, Evangelia Apocrypha, p. 31",https://bl.syriac.uk/ms/172,https://archive.org/details/catalogueofsyria01brituoft/page/98,Maria Thomas,,,,,https://www.zotero.org/groups/4861694/items/DKJR2WN9,Complete,,,
smblBibl74,"Tischendorf, Apocalypses Apocrypha (Leipzig, 1866), p. 41,",https://bl.syriac.uk/ms/172,https://archive.org/details/catalogueofsyria01brituoft/page/98,Maria Thomas,,,,,https://www.zotero.org/groups/4861694/items/CK8I85FU,Complete,,,
smblBibl75,"Journal of Sacred Literature, 4th Series, vol. vi. and vii., 1865",https://bl.syriac.uk/ms/172,https://archive.org/details/catalogueofsyria01brituoft/page/98,Maria Thomas,,,,,https://www.zotero.org/groups/4861694/items/M7VCRUIR,Complete,https://www.zotero.org/groups/4861694/items/HN6T9PWT,,
smblBibl76,"Enger (Elberfeld, 1854), "" Joannis Apostoli de Transitu Beatae Mariae Virginis Liber",https://bl.syriac.uk/ms/172,https://archive.org/details/catalogueofsyria01brituoft/page/98,Maria Thomas,,,,,https://www.zotero.org/groups/4861694/items/8VNCVWJT,Complete,Arabic Title?,,
smblBibl77,"Beveridge, Pandectae Canonum, t. ii., p. 165",https://bl.syriac.uk/ms/183,https://archive.org/details/catalogueofsyria01brituoft/page/219,Maria Thomas,,,,,https://www.zotero.org/groups/4861694/items/X8KYEG3Z,Complete,,,
smblBibl78,"Hermansen, in his ""Disputatio do codice Evangeliorum Syriaco, a Curetono typis descripto"" (Copenhagen 1858), p. 30",https://bl.syriac.uk/ms/1568,https://archive.org/details/catalogueofsyria01brituoft/page/74/mode/2up,Yael Kremer,,,,,https://www.zotero.org/groups/4861694/items/PTMGPDF7,Complete,"I believe it should be ""Typis Schultzianis"", so I've put that for now, but someone should doublecheck that. - CD \ Not sure how to do publisher?",,
smblBibl79,"Lehire, ""Etude sur une ancienne version syriaque des Évangiles"" (Paris, 1859)",https://bl.syriac.uk/ms/1568,https://archive.org/details/catalogueofsyria01brituoft/page/74/mode/2up,Yael Kremer,,,,,https://www.zotero.org/groups/4861694/items/QXH72W7B,Complete,,,
smblBibl80,"the Journal of Sacred Literature, 3rd series, vol. viii. (1859), pp. 140, 216, 407, 461",https://bl.syriac.uk/ms/1568,https://archive.org/details/catalogueofsyria01brituoft/page/74/mode/2up,Yael Kremer,,should be Lehire too,,,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_on_syriac_studies/search/1859/titleCreatorYear/items/B8BX8PIA/item-list,Complete,,,
smblBibl81,"Smith's Dictionary of the Bible, t. iii. pp. 1632—35, art. Versions, Ancient (Syriac)",https://bl.syriac.uk/ms/1568,https://archive.org/details/catalogueofsyria01brituoft/page/74/mode/2up,Yael Kremer,,,,,https://www.zotero.org/groups/4861694/items/4E2SF6AK,Complete,"CD - I believe Wright is citing the 1870 copy of Vol. III, which I've linked to here. However, the page numbers would actually be in volume ii, and they don't seem to refer to anything relevant (the section on leprosy?}. So I'm not sure if the page numbers go with the next citation (it looks like a period after ""iii"") or if Wright put down the wrong volume. | I could only find 1892 PDF copy",,
smblBibl82,"De Lagarde, Abhandlungen, 1866, p. 91",https://bl.syriac.uk/ms/1568,https://archive.org/details/catalogueofsyria01brituoft/page/74/mode/2up,Yael Kremer,,,,,https://www.zotero.org/groups/4861694/items/LK8GM4NX,Complete,,,
smblBibl83,"Journal of Sacred Literature for April 1863, p. 127.",https://bl.syriac.uk/ms/218,https://archive.org/details/catalogueofsyria01brituoft/page/246/mode/1up?view=theater,Maria Thomas,,,,,https://www.zotero.org/groups/4861694/items/ALHRZ9SB,Complete,,,
