Deprecated Syriaca URI,CBSS URI
http://syriaca.org/bibl/2086,http://syriaca.org/cbss/LX56D4IQ
https://zotero.org/groups/392292/items/9BRTN4GC,http://syriaca.org/cbss/LX56D4IQ
http://syriaca.org/bibl/1972,http://syriaca.org/cbss/4RJWNMBW
https://zotero.org/groups/392292/items/ETDZQ5CA,http://syriaca.org/cbss/4RJWNMBW
http://syriaca.org/bibl/1774,http://syriaca.org/cbss/7889YBMF
https://zotero.org/groups/392292/items/6QTTFPBG,http://syriaca.org/cbss/7889YBMF
https://www.zotero.org/groups/4861694/NLC3H6AG,http://syriaca.org/cbss/P9WN8YKZ
http://syriaca.org/bibl/2087,http://syriaca.org/cbss/LQ6NCV42
https://zotero.org/groups/392292/items/XVF5PAMB,http://syriaca.org/cbss/LQ6NCV42
http://syriaca.org/bibl/1770,http://syriaca.org/cbss/HW8CLDYT
https://zotero.org/groups/392292/items/4RP84UFN,http://syriaca.org/cbss/HW8CLDYT
https://www.zotero.org/groups/4861694/68B3QJ6C,http://syriaca.org/cbss/8H2R9U2A
https://www.zotero.org/groups/4861694/Z4EZPPS6,http://syriaca.org/cbss/ZBIPVBWP
https://www.zotero.org/groups/4861694/28V6YELI,http://syriaca.org/cbss/2J7UU3FY
http://syriaca.org/bibl/1697,http://syriaca.org/cbss/2J7UU3FY
https://zotero.org/groups/392292/items/KBE4WDD3,http://syriaca.org/cbss/2J7UU3FY
http://syriaca.org/bibl/1803,http://syriaca.org/cbss/DCS6JJJU
https://zotero.org/groups/392292/items/P24INXQ7,http://syriaca.org/cbss/DCS6JJJU
http://syriaca.org/bibl/1794,http://syriaca.org/cbss/P5T28E3J
https://zotero.org/groups/392292/items/HVDSJFAR,http://syriaca.org/cbss/P5T28E3J
http://syriaca.org/bibl/1698,http://syriaca.org/cbss/JU5YC65C
https://zotero.org/groups/392292/items/7647RXMZ,http://syriaca.org/cbss/JU5YC65C
http://syriaca.org/bibl/1778,http://syriaca.org/cbss/INZMZJA6
https://zotero.org/groups/392292/items/8MDWA4UX,http://syriaca.org/cbss/INZMZJA6
http://syriaca.org/bibl/1789,http://syriaca.org/cbss/FHR8D52V
https://zotero.org/groups/392292/items/FFGKGHKV,http://syriaca.org/cbss/FHR8D52V
http://syriaca.org/bibl/2333,http://syriaca.org/cbss/D9UUSRYX
https://zotero.org/groups/392292/items/2QU3J7W2,http://syriaca.org/cbss/D9UUSRYX
https://www.zotero.org/groups/4861694/HBGZSXF5,http://syriaca.org/cbss/ZSU6TWE9
https://www.zotero.org/groups/4861694/QM8NVP9V,http://syriaca.org/cbss/4MNXPL48
http://syriaca.org/bibl/1809,http://syriaca.org/cbss/RLHDZD37
https://zotero.org/groups/392292/items/V9HCVD3S,http://syriaca.org/cbss/RLHDZD37
https://www.zotero.org/groups/4861694/DW9BJ9NI,http://syriaca.org/cbss/YPLWBAQB
http://syriaca.org/bibl/1321,http://syriaca.org/cbss/3ZLTJAYA
https://zotero.org/groups/392292/items/7TBQRCWQ,http://syriaca.org/cbss/3ZLTJAYA
https://www.zotero.org/groups/4861694/K2GB74JT,http://syriaca.org/cbss/3625X4DK
http://syriaca.org/bibl/964,http://syriaca.org/cbss/GU8KJYEP
http://syriaca.org/bibl/2225,http://syriaca.org/cbss/TDE63RN8
https://zotero.org/groups/392292/items/D3VWBBVF,http://syriaca.org/cbss/TDE63RN8
http://syriaca.org/bibl/1113,http://syriaca.org/cbss/G8TGGVHV
http://syriaca.org/bibl/2212,http://syriaca.org/cbss/G8TGGVHV
https://zotero.org/groups/392292/items/65W3NCHW,http://syriaca.org/cbss/G8TGGVHV
http://syriaca.org/bibl/404,http://syriaca.org/cbss/N3Y3S965
http://syriaca.org/bibl/1814,http://syriaca.org/cbss/CTA9WSGT
https://zotero.org/groups/392292/items/XURDEXQT,http://syriaca.org/cbss/CTA9WSGT
http://syriaca.org/bibl/938,http://syriaca.org/cbss/A62UQADS
http://syriaca.org/bibl/1777,http://syriaca.org/cbss/PPZ5WTVT
https://zotero.org/groups/392292/items/7WQ84GJX,http://syriaca.org/cbss/PPZ5WTVT
http://syriaca.org/bibl/1424,http://syriaca.org/cbss/BMWFPIQ4
https://zotero.org/groups/392292/items/ZRJ2795G,http://syriaca.org/cbss/BMWFPIQ4
http://syriaca.org/bibl/1969,http://syriaca.org/cbss/TE9SYUK3
https://zotero.org/groups/392292/items/C6Z229C7,http://syriaca.org/cbss/TE9SYUK3
http://syriaca.org/bibl/2410,http://syriaca.org/cbss/RPFW94AY
https://zotero.org/groups/392292/items/MQ3J3QM5,http://syriaca.org/cbss/RPFW94AY
https://www.zotero.org/groups/4861694/AD9C4N7S,http://syriaca.org/cbss/LHGSCBBU
http://syriaca.org/bibl/2499,http://syriaca.org/cbss/3Q96IEAH
https://zotero.org/groups/392292/items/QMJ4MK55,http://syriaca.org/cbss/3Q96IEAH
https://www.zotero.org/groups/4861694/4PMMP64D,http://syriaca.org/cbss/486IVG6T
https://zotero.org/groups/392292/items/EFSQECXB,http://syriaca.org/cbss/JPNLMSP6
http://syriaca.org/bibl/1353,http://syriaca.org/cbss/5GVTKL4H
https://zotero.org/groups/392292/items/G8JSA73Q,http://syriaca.org/cbss/5GVTKL4H
http://syriaca.org/bibl/2147,http://syriaca.org/cbss/TPBSNVT8
https://zotero.org/groups/392292/items/I9S63ZEH,http://syriaca.org/cbss/TPBSNVT8
http://syriaca.org/bibl/580,http://syriaca.org/cbss/RHZ3PF9M
http://syriaca.org/bibl/886,http://syriaca.org/cbss/H243PUS6
https://www.zotero.org/groups/4861694/FT82NTY7,http://syriaca.org/cbss/7ZYMVGUQ
http://syriaca.org/bibl/2258,http://syriaca.org/cbss/RRELM9ZM
https://zotero.org/groups/392292/items/V6XF2DTW,http://syriaca.org/cbss/RRELM9ZM
http://syriaca.org/bibl/898,http://syriaca.org/cbss/XL3Z8HTS
https://www.zotero.org/groups/4861694/698TKNIB,http://syriaca.org/cbss/VCVG28IH
https://www.zotero.org/groups/4861694/LEKK3I34,http://syriaca.org/cbss/CQNPBAXC
http://syriaca.org/bibl/646,http://syriaca.org/cbss/LA693C25
http://syriaca.org/bibl/2466,http://syriaca.org/cbss/P3KQXLD3
https://zotero.org/groups/392292/items/GZRUWV87,http://syriaca.org/cbss/P3KQXLD3
https://www.zotero.org/groups/4861694/LCPGZ8ME,http://syriaca.org/cbss/HZ2MWZN9
http://syriaca.org/bibl/2387,http://syriaca.org/cbss/Z5LIHCMM
https://zotero.org/groups/392292/items/KMTRK2GM,http://syriaca.org/cbss/Z5LIHCMM
