uri,shelfmark,hmml_project_number,country,city,holding_institution,repository,collection,support,hmml_genres,locus,height_cm,width_cm,layout,date_after,date_before
https://w3id.org/vhmml/readingRoom/view/500790,MS 89,ZFRN 00089,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 17 lines per page",1916,1916
https://w3id.org/vhmml/readingRoom/view/500791,MS 90,ZFRN 00090,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"2 columns, 21 lines per page",1909,1909
https://w3id.org/vhmml/readingRoom/view/500792,MS 93,ZFRN 00093,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"2 columns, 21 lines per page",1845,1845
https://w3id.org/vhmml/readingRoom/view/500793,MS 94,ZFRN 00094,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,,,,,"1 column, 16 lines per page",1800,2000
https://w3id.org/vhmml/readingRoom/view/500796,MS 96,ZFRN 00096,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 17 lines per page",1800,2000
https://w3id.org/vhmml/readingRoom/view/500797,MS 97,ZFRN 00097,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"2 columns, 24 lines per page",1904,1904
https://w3id.org/vhmml/readingRoom/view/500799,MS 98,ZFRN 00098,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 16 lines per page",1955,1955
https://w3id.org/vhmml/readingRoom/view/500800,MS 99,ZFRN 00099,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 21 lines per page",1700,1900
https://w3id.org/vhmml/readingRoom/view/500802,MS 101,ZFRN 00101,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 20 lines per page",1851,1851
https://w3id.org/vhmml/readingRoom/view/500803,MS 102,ZFRN 00102,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 15 lines per page",1800,1900
https://w3id.org/vhmml/readingRoom/view/500815,MGMT 00008,MGMT 00008,Turkey,Midyat,,Dayrā d-Mār Gabriʼél,MGMT,PAPER,Liturgical books (Eastern Christian),,,,"2 columns, 20 lines per page",1953,1953
https://w3id.org/vhmml/readingRoom/view/500816,MGMT 00016,MGMT 00016,Turkey,Midyat,,Dayrā d-Mār Gabriʼél,MGMT,PAPER,Liturgical books (Eastern Christian),,,,"2 columns, 20 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/500817,MGMT 00032,MGMT 00032,Turkey,Midyat,,Dayrā d-Mār Gabriʼél,MGMT,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 17 lines per page",1936,1936
https://w3id.org/vhmml/readingRoom/view/500823,MGMT 00036,MGMT 00036,Turkey,Midyat,,Dayrā d-Mār Gabriʼél,MGMT,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 12 lines per page",1855,1855
https://w3id.org/vhmml/readingRoom/view/500828,MGMT 00142,MGMT 00142,Turkey,Midyat,,Dayrā d-Mār Gabriʼél,MGMT,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 12 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/500829,MGMT 00249,MGMT 00249,Turkey,Midyat,,Dayrā d-Mār Gabriʼél,MGMT,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 10-12 lines per page",1800,2000
https://w3id.org/vhmml/readingRoom/view/500830,MGMT 00302,MGMT 00302,Turkey,Midyat,,Dayrā d-Mār Gabriʼél,MGMT,PAPER,Liturgical books (Eastern Christian),,,,"2 columns, 23 lines per page",1964,1964
https://w3id.org/vhmml/readingRoom/view/500833,MS 103,ZFRN 00103,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 15 lines per page",1846,1846
https://w3id.org/vhmml/readingRoom/view/500837,MS 108,ZFRN 00108,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"2 columns, 20 lines per page",1963,1963
https://w3id.org/vhmml/readingRoom/view/500838,MS 109,ZFRN 00109,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"2 columns, 21 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/500839,MS 110,ZFRN 00110,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"2 columns, 22 lines per page",1971,1971
https://w3id.org/vhmml/readingRoom/view/500840,MS 111,ZFRN 00111,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Psalters | Liturgical books (Eastern Christian),,,,"2 columns, 18 lines per page",1900,1970
https://w3id.org/vhmml/readingRoom/view/500841,MS 112,ZFRN 00112,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 21 lines per page",1985,1985
https://w3id.org/vhmml/readingRoom/view/500842,MS 113,ZFRN 00113,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Psalters | Liturgical books (Eastern Christian),,,,"2 columns, 20 lines per page",1957,1957
https://w3id.org/vhmml/readingRoom/view/500843,MS 114,ZFRN 00114,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"2 columns, 23 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/500844,MS 115,ZFRN 00115,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 17 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/500845,MS 116,ZFRN 00116,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 24 lines per page",1850,1950
https://w3id.org/vhmml/readingRoom/view/500846,MS 117,ZFRN 00117,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"2 columns, 26 lines per page",1850,1950
https://w3id.org/vhmml/readingRoom/view/500847,MS 118,ZFRN 00118,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"2 columns, 30 lines per page",1800,1900
https://w3id.org/vhmml/readingRoom/view/500848,MS 119,ZFRN 00119,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"2 columns, 16 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/500849,MS 120,ZFRN 00120,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 15 lines per page",1850,1950
https://w3id.org/vhmml/readingRoom/view/500850,MS 121,ZFRN 00121,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 15 lines per page",1850,1950
https://w3id.org/vhmml/readingRoom/view/500851,MS 122,ZFRN 00122,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 15 lines per page",1700,1870
https://w3id.org/vhmml/readingRoom/view/500852,MS 123,ZFRN 00123,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 17 lines per page",1700,1900
https://w3id.org/vhmml/readingRoom/view/500853,MS 124,ZFRN 00124,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 22 lines per page",1700,1900
https://w3id.org/vhmml/readingRoom/view/500882,MS 127,ZFRN 00127,Turkey,Mardin,,Dayr Za‘farān (Monastery),ZFRN,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 14 lines per page",1600,1800
